verdict,segment,business,trade_tier,trade_kw,response,resp_hours,phone,email,likelihood,contact_id,why,ADVERTISER? (Kevin),RECENT RAQs (Kevin),RULING (keep/drop)
KEEP,never_emailed,Stonecreek Roofing,CORE,roof,2 hours,2,+16023243400,,4,f6thInXhiGrg2MCVlcVK,"Emergency roofing services with 2-hour response time, established company with professional website, serves Phoenix metro area, likely has marketing budget for ",,,
KEEP,call_now,Streak Patrol,OUT,window clean,1 day,24,+14808690179,mikep@streakpatrol.com,5,ZOkU0k0fs2G55QIxG8LK,"Excellent reviews (4.9 with 223 reviews), established business with strong reputation, high volume of quote requests indicates strong market demand and customer",,,
KEEP,running,Texas Turf Pros,CORE,turf,,,+14244785449,texasturfp@gmail.com,0,0TqzKkcGepD90a5aV5Fh,,,,
KEEP,running,The Passionate Plumber,CORE,plumb,,,,info@thepassionateplumber.com,0,tNATwSGgfVkPBBGhPKKc,,,,
KEEP,running,Tom's Painters,CORE,paint,,,+14156255459,tomthepaintersf@gmail.com,0,ZMl5NwyZBxlaqGw4R8LX,,,,
KEEP,never_emailed,TrueWest Contracting LLC,ADJACENT,contractor,3 hours,3,+16026760330,,4,G9PZ2rFZWzASIFdzfGU9,General contractor with 3-hour response time and 100% response rate indicates active business seeking customers,,,
KEEP,never_emailed,Turf Monsters,CORE,landscap,6 hours,6,+16237807535,,4,PrKL1JoFZzV8zWKnjfZL,"4.3 rating with 141 reviews, family-owned with certified professionals, 20+ years in business, offers artificial turf, hardscaping, and landscape design. Respon",,,
KEEP,running,Turfland,CORE,turf,,,+18338949997,info@turfland.co,0,Hu5omJLmdJZcooEL5KRs,,,,
KEEP,running,VigilAir Heating and Cooling,CORE,heating,,,,info@vigilairandheat.com,0,M29HnBjBreLCZum2aWaE,,,,
KEEP,running,Walnut Valley Pest Control,CORE,pest,,,,walnutvalleypestcontrol@yahoo.com,0,z0ok4kbK5ErTuw7OEos1,,,,
KEEP,running,Zenscape,UNKNOWN,,,,+14157940664,brian@zenscape.com,0,2myz8ZKAsvtBlTI569bE,,,,
